,model,acc,f1,P,neg,alpha,beta
0,RCSVM,0.44171106236289565,0.6127594826649277,0.01,6382,0.2,0.8
0,RCSVM,0.4089095744680851,0.5804624823029731,0.01,6016,0.4,0.6
0,RCSVM,0.3664340669171587,0.5363362576928113,0.01,5589,0.6,0.4
0,RCSVM,0.3199685534591195,0.48481238832638474,0.01,5088,0.8,0.19999999999999996
0,RCSVM,0.4336865767501606,0.6049949602419084,0.02,6228,0.2,0.8
0,RCSVM,0.4011894647408666,0.5726412806209071,0.02,5885,0.4,0.6
0,RCSVM,0.35884818662292695,0.5281652360515021,0.02,5487,0.6,0.4
0,RCSVM,0.3098870616207648,0.47315080925729847,0.02,5047,0.8,0.19999999999999996
0,RCSVM,0.4345643019112407,0.6058484814271198,0.03,6174,0.2,0.8
0,RCSVM,0.39747797547072033,0.5688504326328802,0.03,5789,0.4,0.6
0,RCSVM,0.35366307177389367,0.5225274725274726,0.03,5378,0.6,0.4
0,RCSVM,0.3071327540917357,0.46993352913897046,0.03,4949,0.8,0.19999999999999996
0,RCSVM,0.40591675266597865,0.5774406655248349,0.04,5814,0.2,0.8
0,RCSVM,0.3673881144534116,0.5373574782025486,0.04,5452,0.4,0.6
0,RCSVM,0.3231466876971609,0.4884517955595291,0.04,5072,0.6,0.4
0,RCSVM,0.2734090422112706,0.42941275450109373,0.04,4667,0.8,0.19999999999999996
0,RCSVM,0.4256677305560222,0.597148580181454,0.05,5953,0.2,0.8
0,RCSVM,0.3851691864650828,0.5561330561330561,0.05,5556,0.4,0.6
0,RCSVM,0.33812670034978626,0.5053732210281731,0.05,5146,0.6,0.4
0,RCSVM,0.28701546282567253,0.446017116524029,0.05,4721,0.8,0.19999999999999996
0,RCSVM,0.40740091196071554,0.5789408099688473,0.06,5702,0.2,0.8
0,RCSVM,0.36445953593661573,0.5342181667357943,0.06,5301,0.4,0.6
0,RCSVM,0.31791318524556755,0.482449358280501,0.06,4907,0.6,0.4
0,RCSVM,0.27165964990028807,0.42725213451820876,0.06,4513,0.8,0.19999999999999996
0,RCSVM,0.4499753573188763,0.6206662134602311,0.07,6087,0.2,0.8
0,RCSVM,0.41841876629018243,0.5899791743231655,0.07,5755,0.4,0.6
0,RCSVM,0.374649467190129,0.5450836393308853,0.07,5349,0.6,0.4
0,RCSVM,0.3221586263286999,0.4873222016079159,0.07,4892,0.8,0.19999999999999996
0,RCSVM,0.4517304189435337,0.6223337515683814,0.08,6039,0.2,0.8
0,RCSVM,0.4143665958952583,0.5859394545909432,0.08,5652,0.4,0.6
0,RCSVM,0.3696564885496183,0.5397798523059775,0.08,5240,0.6,0.4
0,RCSVM,0.31834270247761814,0.4829437776373973,0.08,4803,0.8,0.19999999999999996
0,RCSVM,0.45752608047690013,0.6278118609406953,0.09,6039,0.2,0.8
0,RCSVM,0.4240985048372911,0.595602766798419,0.09,5685,0.4,0.6
0,RCSVM,0.3821969696969697,0.5530282269114826,0.09,5280,0.6,0.4
0,RCSVM,0.32750728256346234,0.4934169278996865,0.09,4806,0.8,0.19999999999999996
0,RCSVM,0.44794683932526835,0.6187338197222876,0.1,5869,0.2,0.8
0,RCSVM,0.4112727272727273,0.5828394743622778,0.1,5500,0.4,0.6
0,RCSVM,0.3639771158019333,0.5336997396586636,0.1,5069,0.6,0.4
0,RCSVM,0.3149064314906431,0.47897922460330444,0.1,4649,0.8,0.19999999999999996
0,RCSVM,0.44200626959247646,0.6130434782608696,0.11,5742,0.2,0.8
0,RCSVM,0.4028709917971663,0.5743521594684385,0.11,5364,0.4,0.6
0,RCSVM,0.3583617747440273,0.5276381909547738,0.11,4981,0.6,0.4
0,RCSVM,0.30527472527472527,0.46775551439636304,0.11,4550,0.8,0.19999999999999996
0,RCSVM,0.44739138021287733,0.618203737191079,0.12,5731,0.2,0.8
0,RCSVM,0.4122888435121589,0.5838590956887487,0.12,5387,0.4,0.6
0,RCSVM,0.36387487386478307,0.5335898194732169,0.12,4955,0.6,0.4
0,RCSVM,0.31501428885469335,0.4791039786024741,0.12,4549,0.8,0.19999999999999996
0,RCSVM,0.45869339785689595,0.6289099526066351,0.13,5786,0.2,0.8
0,RCSVM,0.4228571428571429,0.5943775100401606,0.13,5425,0.4,0.6
0,RCSVM,0.3759744153507895,0.5464846019755956,0.13,5003,0.6,0.4
0,RCSVM,0.3242947736715504,0.48976221928665786,0.13,4573,0.8,0.19999999999999996
0,RCSVM,0.44516129032258067,0.6160714285714286,0.14,5580,0.2,0.8
0,RCSVM,0.405009633911368,0.5765222161272627,0.14,5190,0.4,0.6
0,RCSVM,0.3565745393634841,0.5256984102484952,0.14,4776,0.6,0.4
0,RCSVM,0.3041877588587207,0.4664784756527876,0.14,4346,0.8,0.19999999999999996
0,RCSVM,0.45810451727192203,0.6283562143117483,0.15,5645,0.2,0.8
0,RCSVM,0.41970387243735763,0.5912555154432411,0.15,5268,0.4,0.6
0,RCSVM,0.37415245531128005,0.5445574162679426,0.15,4867,0.6,0.4
0,RCSVM,0.3236551879360792,0.48903247746981804,0.15,4443,0.8,0.19999999999999996
0,RCSVM,0.4686236596941466,0.6381807301017355,0.16,5689,0.2,0.8
0,RCSVM,0.431634380289637,0.6029952706253284,0.16,5317,0.4,0.6
0,RCSVM,0.3855397148676171,0.5565191827135088,0.16,4910,0.6,0.4
0,RCSVM,0.3332588287885561,0.49991617770326907,0.16,4474,0.8,0.19999999999999996
0,RCSVM,0.46238300935925125,0.6323692307692308,0.17,5556,0.2,0.8
0,RCSVM,0.42515892891543056,0.5966477426331441,0.17,5191,0.4,0.6
