,model,acc,f1,P,neg,alpha,beta
0,RCSVM,0.3770423125261835,0.5476118040766657,0.17,4774,0.6,0.4
0,RCSVM,0.31888760139049827,0.4835705499912142,0.17,4315,0.8,0.19999999999999996
0,RCSVM,0.47020818377602297,0.6396484375,0.18,5572,0.2,0.8
0,RCSVM,0.43138010794140325,0.6027471047670347,0.18,5188,0.4,0.6
0,RCSVM,0.3883454734651405,0.5594363663618648,0.18,4805,0.6,0.4
0,RCSVM,0.3369069343065693,0.5040095546835011,0.18,4384,0.8,0.19999999999999996
0,RCSVM,0.4816856330014225,0.6501860074402976,0.19,5624,0.2,0.8
0,RCSVM,0.4476028046238393,0.6184055504647206,0.19,5277,0.4,0.6
0,RCSVM,0.4008230452674897,0.5722679200940071,0.19,4860,0.6,0.4
0,RCSVM,0.35023664638269103,0.5187781672508763,0.19,4437,0.8,0.19999999999999996
0,RCSVM,0.45574886535552195,0.6261366588724344,0.2,5288,0.2,0.8
0,RCSVM,0.41442542787286063,0.5859982713915298,0.2,4908,0.4,0.6
0,RCSVM,0.36458564763385914,0.5343536307391729,0.2,4501,0.6,0.4
0,RCSVM,0.31356759394826744,0.4774289429686049,0.2,4098,0.8,0.19999999999999996
0,RCSVM,0.4841226637633823,0.6524024941924441,0.21,5511,0.2,0.8
0,RCSVM,0.44849660523763335,0.6192580688362127,0.21,5155,0.4,0.6
0,RCSVM,0.4025263157894737,0.5740018012608826,0.21,4750,0.6,0.4
0,RCSVM,0.3498265895953757,0.5183281945871874,0.21,4325,0.8,0.19999999999999996
0,RCSVM,0.4797034291010195,0.6483778028310159,0.22,5395,0.2,0.8
0,RCSVM,0.4405664140406861,0.6116572061470303,0.22,5014,0.4,0.6
0,RCSVM,0.3911905800261666,0.5623824451410658,0.22,4586,0.6,0.4
0,RCSVM,0.3403693931398417,0.5078740157480315,0.22,4169,0.8,0.19999999999999996
0,RCSVM,0.48311882111546356,0.6514903785687335,0.23,5361,0.2,0.8
0,RCSVM,0.44544544544544545,0.6163434903047091,0.23,4995,0.4,0.6
0,RCSVM,0.39878101872006966,0.5701836290071585,0.23,4594,0.6,0.4
0,RCSVM,0.3449101796407186,0.5129118432769367,0.23,4175,0.8,0.19999999999999996
0,RCSVM,0.49068901303538176,0.6583385384134915,0.24,5370,0.2,0.8
0,RCSVM,0.45570376269161855,0.6260940919037199,0.24,5023,0.4,0.6
0,RCSVM,0.4102230885856617,0.5817846720933805,0.24,4617,0.6,0.4
0,RCSVM,0.361868626986009,0.5314295664286958,0.24,4217,0.8,0.19999999999999996
0,RCSVM,0.49636126142937115,0.6634243671280708,0.25,5359,0.2,0.8
0,RCSVM,0.46029205841168236,0.6304109589041096,0.25,4999,0.4,0.6
0,RCSVM,0.41469245816126926,0.5862651713012752,0.25,4601,0.6,0.4
0,RCSVM,0.3631165117941387,0.5327739905610908,0.25,4197,0.8,0.19999999999999996
