model,acc,f1,P,neg,L
RGCN_GAE,0.97,0.9847715736040609,0.1,,2.0
RGCN_GAE,0.995,0.9974937343358395,0.1,,3.0
RGCN_GAE,0.975,0.9873417721518988,0.1,,4.0
RGCN_GAE,0.985,0.9924433249370277,0.1,,5.0
RLP_PUL,0.835,0.9100817438692098,0.1,,
GCN_GAE,0.865,0.9276139410187667,0.1,,
CCRNE,0.83,0.907103825136612,0.11,200.0,
MCLS,0.89,0.9417989417989417,0.11,200.0,
LP_PUL,0.895,0.9445910290237467,0.11,200.0,
PU_LP,0.75,0.8571428571428571,0.11,100.0,
RCSVM,,0.0,0.11,0.0,
RANDOM,0.815,0.8980716253443526,0.11,,
RGCN_GAE,1.0,1.0,0.11,,2.0
RGCN_GAE,0.99,0.9949748743718593,0.11,,3.0
RGCN_GAE,0.985,0.9924433249370277,0.11,,4.0
RGCN_GAE,0.965,0.9821882951653944,0.11,,5.0
RLP_PUL,0.895,0.9445910290237467,0.11,,
GCN_GAE,0.855,0.921832884097035,0.11,,
CCRNE,0.815,0.8980716253443526,0.12,200.0,
MCLS,0.925,0.961038961038961,0.12,200.0,
LP_PUL,0.9,0.9473684210526315,0.12,200.0,
PU_LP,0.7522935779816514,0.8586387434554974,0.12,109.0,
RCSVM,,0.0,0.12,0.0,
RANDOM,0.77,0.8700564971751412,0.12,,
RGCN_GAE,0.985,0.9924433249370277,0.12,,2.0
RGCN_GAE,0.975,0.9873417721518988,0.12,,3.0
RGCN_GAE,0.975,0.9873417721518988,0.12,,4.0
RGCN_GAE,0.97,0.9847715736040609,0.12,,5.0
RLP_PUL,0.9,0.9473684210526315,0.12,,
GCN_GAE,0.855,0.921832884097035,0.12,,
CCRNE,0.86,0.9247311827956989,0.13,200.0,
MCLS,0.895,0.9445910290237467,0.13,200.0,
LP_PUL,0.92,0.9583333333333334,0.13,200.0,
PU_LP,0.7796610169491526,0.8761904761904762,0.13,118.0,
RCSVM,,0.0,0.13,0.0,
RANDOM,0.8,0.8888888888888888,0.13,,
RGCN_GAE,0.985,0.9924433249370277,0.13,,2.0
RGCN_GAE,0.99,0.9949748743718593,0.13,,3.0
RGCN_GAE,0.975,0.9873417721518988,0.13,,4.0
RGCN_GAE,0.98,0.98989898989899,0.13,,5.0
RLP_PUL,0.92,0.9583333333333334,0.13,,
GCN_GAE,0.88,0.9361702127659575,0.13,,
CCRNE,0.86,0.9247311827956989,0.14,200.0,
MCLS,0.87,0.93048128342246,0.14,200.0,
LP_PUL,0.93,0.9637305699481865,0.14,200.0,
PU_LP,0.7952755905511811,0.8859649122807017,0.14,127.0,
RCSVM,,0.0,0.14,0.0,
RANDOM,0.76,0.8636363636363636,0.14,,
RGCN_GAE,0.99,0.9949748743718593,0.14,,2.0
RGCN_GAE,0.975,0.9873417721518988,0.14,,3.0
RGCN_GAE,0.98,0.98989898989899,0.14,,4.0
RGCN_GAE,0.96,0.9795918367346939,0.14,,5.0
RLP_PUL,0.93,0.9637305699481865,0.14,,
GCN_GAE,0.98,0.98989898989899,0.14,,
CCRNE,0.84,0.9130434782608695,0.15,200.0,
MCLS,0.935,0.9664082687338501,0.15,200.0,
LP_PUL,0.925,0.961038961038961,0.15,200.0,
PU_LP,0.8088235294117647,0.8943089430894309,0.15,136.0,
RCSVM,,0.0,0.15,0.0,
RANDOM,0.82,0.9010989010989011,0.15,,
RGCN_GAE,0.995,0.9974937343358395,0.15,,2.0
RGCN_GAE,0.995,0.9974937343358395,0.15,,3.0
RGCN_GAE,0.985,0.9924433249370277,0.15,,4.0
RGCN_GAE,0.99,0.9949748743718593,0.15,,5.0
RLP_PUL,0.93,0.9637305699481865,0.15,,
GCN_GAE,0.865,0.9276139410187667,0.15,,
CCRNE,0.825,0.9041095890410958,0.16,200.0,
MCLS,0.89,0.9417989417989417,0.16,200.0,
LP_PUL,0.905,0.9501312335958005,0.16,200.0,
PU_LP,0.8068965517241379,0.8931297709923665,0.16,145.0,
RCSVM,,0.0,0.16,0.0,
RANDOM,0.84,0.9130434782608695,0.16,,
RGCN_GAE,0.995,0.9974937343358395,0.16,,2.0
RGCN_GAE,0.985,0.9924433249370277,0.16,,3.0
RGCN_GAE,0.985,0.9924433249370277,0.16,,4.0
RGCN_GAE,0.98,0.98989898989899,0.16,,5.0
RLP_PUL,0.91,0.9528795811518325,0.16,,
GCN_GAE,0.855,0.921832884097035,0.16,,
CCRNE,0.825,0.9041095890410958,0.17,200.0,
MCLS,0.86,0.9247311827956989,0.17,200.0,
LP_PUL,0.905,0.9501312335958005,0.17,200.0,
PU_LP,0.8051948051948052,0.8920863309352518,0.17,154.0,
RCSVM,,0.0,0.17,0.0,
RANDOM,0.77,0.8700564971751412,0.17,,
RGCN_GAE,0.99,0.9949748743718593,0.17,,2.0
RGCN_GAE,0.985,0.9924433249370277,0.17,,3.0
RGCN_GAE,0.985,0.9924433249370277,0.17,,4.0
RGCN_GAE,0.97,0.9847715736040609,0.17,,5.0
RLP_PUL,0.91,0.9528795811518325,0.17,,
GCN_GAE,0.865,0.9276139410187667,0.17,,
CCRNE,0.85,0.918918918918919,0.18,200.0,
MCLS,0.925,0.961038961038961,0.18,200.0,
LP_PUL,0.935,0.9664082687338501,0.18,200.0,
PU_LP,0.8098159509202454,0.8949152542372881,0.18,163.0,
RCSVM,,0.0,0.18,0.0,
RANDOM,0.795,0.8857938718662952,0.18,,
RGCN_GAE,0.985,0.9924433249370277,0.18,,2.0
RGCN_GAE,0.98,0.98989898989899,0.18,,3.0
RGCN_GAE,0.96,0.9795918367346939,0.18,,4.0
RGCN_GAE,0.965,0.9821882951653944,0.18,,5.0
