L,ro,P,final_acc,final_f1,max_acc,max_f1,acc_per_epoch,f1_per_epoch,losses,model
2,1,0.01,0.82,0.9010989010989011,0.83,0.907103825136612,"[0.77, 0.83, 0.81, 0.79, 0.81, 0.81, 0.81, 0.81, 0.81, 0.82]","[0.8700564971751412, 0.907103825136612, 0.8950276243093923, 0.88268156424581, 0.8950276243093923, 0.8950276243093923, 0.8950276243093923, 0.8950276243093923, 0.8950276243093923, 0.9010989010989011]","[0.6945503354072571, 0.6907660961151123, 0.6869931221008301, 0.682680606842041, 0.6774422526359558, 0.6709948778152466, 0.6631065011024475, 0.6535939574241638, 0.6422911882400513, 0.6290343403816223]",RGCN
2,3,0.01,0.81,0.8950276243093923,0.81,0.8950276243093923,"[0.59, 0.65, 0.66, 0.73, 0.76, 0.78, 0.79, 0.8, 0.8, 0.81]","[0.7421383647798742, 0.7878787878787878, 0.7951807228915663, 0.8439306358381503, 0.8636363636363636, 0.8764044943820225, 0.88268156424581, 0.8888888888888888, 0.8888888888888888, 0.8950276243093923]","[0.6932147741317749, 0.6901607513427734, 0.687028706073761, 0.6833443641662598, 0.6787691116333008, 0.6729872226715088, 0.6656994819641113, 0.6566256880760193, 0.6455339789390564, 0.6322081089019775]",RGCN
3,1,0.01,0.79,0.88268156424581,0.79,0.88268156424581,"[0.72, 0.76, 0.78, 0.78, 0.78, 0.78, 0.78, 0.78, 0.79, 0.79]","[0.8372093023255814, 0.8636363636363636, 0.8764044943820225, 0.8764044943820225, 0.8764044943820225, 0.8764044943820225, 0.8764044943820225, 0.8764044943820225, 0.88268156424581, 0.88268156424581]","[0.6947790384292603, 0.6910377144813538, 0.6869065761566162, 0.681387722492218, 0.674010157585144, 0.6644580364227295, 0.652409553527832, 0.6375198364257812, 0.6195014715194702, 0.5981497168540955]",RGCN
3,3,0.01,0.77,0.8700564971751412,0.77,0.8700564971751412,"[0.62, 0.65, 0.68, 0.69, 0.72, 0.74, 0.76, 0.76, 0.77, 0.77]","[0.7654320987654321, 0.7878787878787878, 0.8095238095238095, 0.8165680473372781, 0.8372093023255814, 0.8505747126436781, 0.8636363636363636, 0.8636363636363636, 0.8700564971751412, 0.8700564971751412]","[0.6936925649642944, 0.6896856427192688, 0.6847239136695862, 0.6779664158821106, 0.6689611077308655, 0.6572831273078918, 0.6425606608390808, 0.6244943141937256, 0.6029027700424194, 0.5777198076248169]",RGCN
2,1,0.02,0.76,0.8636363636363636,0.78,0.8764044943820225,"[0.75, 0.75, 0.75, 0.75, 0.77, 0.78, 0.78, 0.78, 0.76, 0.76]","[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8700564971751412, 0.8764044943820225, 0.8764044943820225, 0.8764044943820225, 0.8636363636363636, 0.8636363636363636]","[0.6946618556976318, 0.69169020652771, 0.6888282299041748, 0.6855708956718445, 0.6816598176956177, 0.676893949508667, 0.671078085899353, 0.6640116572380066, 0.6554865837097168, 0.6453144550323486]",RGCN
2,3,0.02,0.83,0.907103825136612,0.83,0.907103825136612,"[0.8, 0.72, 0.69, 0.74, 0.77, 0.78, 0.79, 0.81, 0.81, 0.83]","[0.8888888888888888, 0.8372093023255814, 0.8165680473372781, 0.8505747126436781, 0.8700564971751412, 0.8764044943820225, 0.88268156424581, 0.8950276243093923, 0.8950276243093923, 0.907103825136612]","[0.6970175504684448, 0.6929628252983093, 0.6888455748558044, 0.6840358972549438, 0.6781190633773804, 0.6708029508590698, 0.6618431210517883, 0.6510046124458313, 0.6380414962768555, 0.6227217316627502]",RGCN
3,1,0.02,0.8,0.8888888888888888,0.81,0.8950276243093923,"[0.71, 0.71, 0.74, 0.77, 0.79, 0.79, 0.8, 0.81, 0.8, 0.8]","[0.8304093567251462, 0.8304093567251462, 0.8505747126436781, 0.8700564971751412, 0.88268156424581, 0.88268156424581, 0.8888888888888888, 0.8950276243093923, 0.8888888888888888, 0.8888888888888888]","[0.6956905126571655, 0.6913470029830933, 0.6860817670822144, 0.6791208982467651, 0.6700716018676758, 0.6586111187934875, 0.644463837146759, 0.6273931264877319, 0.6071845889091492, 0.583720326423645]",RGCN
3,3,0.02,0.79,0.88268156424581,0.87,0.93048128342246,"[0.87, 0.75, 0.73, 0.71, 0.76, 0.75, 0.76, 0.77, 0.8, 0.79]","[0.93048128342246, 0.8571428571428571, 0.8439306358381503, 0.8304093567251462, 0.8636363636363636, 0.8571428571428571, 0.8636363636363636, 0.8700564971751412, 0.8888888888888888, 0.88268156424581]","[0.6959146857261658, 0.6926835775375366, 0.6898449063301086, 0.6865863800048828, 0.6825021505355835, 0.6773040890693665, 0.6707020998001099, 0.6624054312705994, 0.6521938443183899, 0.63987797498703]",RGCN
