model,acc,f1,P,neg,L
CCRNE,0.76,0.8636363636363636,0.1,200.0,
MCLS,0.895,0.9445910290237467,0.1,200.0,
LP_PUL,0.845,0.9159891598915989,0.1,200.0,
PU_LP,0.7047619047619048,0.8268156424581006,0.1,105.0,
RCSVM,0.714674970805761,0.8335981838819523,0.1,2569.0,
RANDOM,0.665,0.7987987987987988,0.1,,
RGCN_GAE,0.99,0.9949748743718593,0.1,,2.0
RGCN_GAE,0.975,0.9873417721518988,0.1,,3.0
RGCN_GAE,0.97,0.9847715736040609,0.1,,4.0
RGCN_GAE,0.94,0.9690721649484536,0.1,,5.0
RLP_PUL,0.96,0.9795918367346939,0.1,,
GCN_GAE,0.935,0.9664082687338501,0.1,,
CCRNE,0.77,0.8700564971751412,0.11,200.0,
MCLS,0.86,0.9247311827956989,0.11,200.0,
LP_PUL,0.835,0.9100817438692098,0.11,200.0,
PU_LP,0.6695652173913044,0.8020833333333334,0.11,115.0,
RCSVM,0.7160203681942813,0.8345126683405615,0.11,2553.0,
RANDOM,0.715,0.8338192419825073,0.11,,
RGCN_GAE,0.995,0.9974937343358395,0.11,,2.0
RGCN_GAE,0.95,0.9743589743589743,0.11,,3.0
RGCN_GAE,0.995,0.9974937343358395,0.11,,4.0
RGCN_GAE,0.945,0.9717223650385605,0.11,,5.0
RLP_PUL,0.91,0.9528795811518325,0.11,,
GCN_GAE,0.97,0.9847715736040609,0.11,,
CCRNE,0.785,0.8795518207282913,0.12,200.0,
MCLS,0.785,0.8795518207282913,0.12,200.0,
LP_PUL,0.865,0.9276139410187667,0.12,200.0,
PU_LP,0.6771653543307087,0.8075117370892019,0.12,127.0,
RCSVM,0.7134786117836965,0.8327837965143665,0.12,2478.0,
RANDOM,0.7,0.8235294117647058,0.12,,
RGCN_GAE,0.985,0.9924433249370277,0.12,,2.0
RGCN_GAE,0.96,0.9795918367346939,0.12,,3.0
RGCN_GAE,0.94,0.9690721649484536,0.12,,4.0
RGCN_GAE,0.965,0.9821882951653944,0.12,,5.0
RLP_PUL,0.945,0.9717223650385605,0.12,,
GCN_GAE,0.97,0.9847715736040609,0.12,,
CCRNE,0.76,0.8636363636363636,0.13,200.0,
MCLS,0.794392523364486,0.8854166666666666,0.13,107.0,
LP_PUL,0.85,0.918918918918919,0.13,200.0,
PU_LP,0.7007299270072993,0.8240343347639485,0.13,137.0,
RCSVM,0.7223962411902898,0.8388270061377586,0.13,2554.0,
RANDOM,0.745,0.8538681948424068,0.13,,
RGCN_GAE,0.985,0.9924433249370277,0.13,,2.0
RGCN_GAE,0.985,0.9924433249370277,0.13,,3.0
RGCN_GAE,0.96,0.9795918367346939,0.13,,4.0
RGCN_GAE,0.96,0.9795918367346939,0.13,,5.0
RLP_PUL,0.95,0.9743589743589743,0.13,,
GCN_GAE,0.975,0.9873417721518988,0.13,,
CCRNE,0.79,0.88268156424581,0.14,200.0,
MCLS,0.83,0.907103825136612,0.14,200.0,
LP_PUL,0.83,0.907103825136612,0.14,200.0,
PU_LP,0.7297297297297297,0.84375,0.14,148.0,
RCSVM,0.72506843957763,0.8406257084561324,0.14,2557.0,
RANDOM,0.65,0.7878787878787878,0.14,,
RGCN_GAE,0.995,0.9974937343358395,0.14,,2.0
RGCN_GAE,0.985,0.9924433249370277,0.14,,3.0
RGCN_GAE,0.98,0.98989898989899,0.14,,4.0
RGCN_GAE,0.98,0.98989898989899,0.14,,5.0
RLP_PUL,0.925,0.961038961038961,0.14,,
GCN_GAE,0.965,0.9821882951653944,0.14,,
CCRNE,0.78,0.8764044943820225,0.15,200.0,
MCLS,0.68,0.8095238095238095,0.15,200.0,
LP_PUL,0.85,0.918918918918919,0.15,200.0,
PU_LP,0.7088607594936709,0.8296296296296296,0.15,158.0,
RCSVM,0.7290121046466224,0.8432700993676604,0.15,2561.0,
RANDOM,0.71,0.8304093567251462,0.15,,
RGCN_GAE,0.99,0.9949748743718593,0.15,,2.0
RGCN_GAE,0.99,0.9949748743718593,0.15,,3.0
RGCN_GAE,0.965,0.9821882951653944,0.15,,4.0
RGCN_GAE,0.97,0.9847715736040609,0.15,,5.0
RLP_PUL,0.93,0.9637305699481865,0.15,,
GCN_GAE,0.965,0.9821882951653944,0.15,,
CCRNE,0.765,0.8668555240793201,0.16,200.0,
MCLS,0.89,0.9417989417989417,0.16,200.0,
LP_PUL,0.865,0.9276139410187667,0.16,200.0,
PU_LP,0.7633136094674556,0.8657718120805369,0.16,169.0,
RCSVM,0.7287465401344405,0.843092406221409,0.16,2529.0,
RANDOM,0.665,0.7987987987987988,0.16,,
RGCN_GAE,0.99,0.9949748743718593,0.16,,2.0
RGCN_GAE,0.985,0.9924433249370277,0.16,,3.0
RGCN_GAE,0.965,0.9821882951653944,0.16,,4.0
RGCN_GAE,0.94,0.9690721649484536,0.16,,5.0
RLP_PUL,0.965,0.9821882951653944,0.16,,
GCN_GAE,0.965,0.9821882951653944,0.16,,
CCRNE,0.755,0.8603988603988604,0.17,200.0,
MCLS,0.84,0.9130434782608695,0.17,200.0,
LP_PUL,0.86,0.9247311827956989,0.17,200.0,
PU_LP,0.7055555555555556,0.8273615635179153,0.17,180.0,
RCSVM,0.7157983905124947,0.8343618859540854,0.17,2361.0,
RANDOM,0.7,0.8235294117647058,0.17,,
RGCN_GAE,1.0,1.0,0.17,,2.0
RGCN_GAE,0.98,0.98989898989899,0.17,,3.0
RGCN_GAE,0.995,0.9974937343358395,0.17,,4.0
RGCN_GAE,0.975,0.9873417721518988,0.17,,5.0
RLP_PUL,0.965,0.9821882951653944,0.17,,
GCN_GAE,0.975,0.9873417721518988,0.17,,
CCRNE,0.78,0.8764044943820225,0.18,200.0,
MCLS,0.86,0.9247311827956989,0.18,200.0,
LP_PUL,0.855,0.921832884097035,0.18,200.0,
PU_LP,0.6858638743455497,0.8136645962732919,0.18,191.0,
RCSVM,0.7320497392699559,0.8452987494210282,0.18,2493.0,
RANDOM,0.665,0.7987987987987988,0.18,,
RGCN_GAE,0.99,0.9949748743718593,0.18,,2.0
RGCN_GAE,0.99,0.9949748743718593,0.18,,3.0
RGCN_GAE,0.94,0.9690721649484536,0.18,,4.0
RGCN_GAE,0.95,0.9743589743589743,0.18,,5.0
RLP_PUL,0.955,0.9769820971867008,0.18,,
GCN_GAE,0.98,0.98989898989899,0.18,,
CCRNE,0.75,0.8571428571428571,0.19,200.0,
MCLS,0.705,0.8269794721407625,0.19,200.0,
LP_PUL,0.88,0.9361702127659575,0.19,200.0,
PU_LP,0.746268656716418,0.8547008547008547,0.19,201.0,
RCSVM,0.7206632653061225,0.83765752409192,0.19,2352.0,
RANDOM,0.75,0.8571428571428571,0.19,,
RGCN_GAE,0.985,0.9924433249370277,0.19,,2.0
RGCN_GAE,0.99,0.9949748743718593,0.19,,3.0
RGCN_GAE,0.95,0.9743589743589743,0.19,,4.0
RGCN_GAE,0.96,0.9795918367346939,0.19,,5.0
RLP_PUL,0.985,0.9924433249370277,0.19,,
GCN_GAE,0.96,0.9795918367346939,0.19,,
CCRNE,0.73,0.8439306358381503,0.2,200.0,
MCLS,0.765,0.8668555240793201,0.2,200.0,
LP_PUL,0.85,0.918918918918919,0.2,200.0,
PU_LP,0.7440758293838863,0.8532608695652174,0.2,211.0,
RCSVM,0.7148471615720524,0.8337153043035396,0.2,2290.0,
RANDOM,0.645,0.78419452887538,0.2,,
RGCN_GAE,0.985,0.9924433249370277,0.2,,2.0
RGCN_GAE,0.98,0.98989898989899,0.2,,3.0
RGCN_GAE,0.975,0.9873417721518988,0.2,,4.0
RGCN_GAE,0.945,0.9717223650385605,0.2,,5.0
RLP_PUL,0.955,0.9769820971867008,0.2,,
GCN_GAE,0.9,0.9473684210526315,0.2,,
CCRNE,0.77,0.8700564971751412,0.21,200.0,
MCLS,0.825,0.9041095890410958,0.21,200.0,
LP_PUL,0.875,0.9333333333333333,0.21,200.0,
PU_LP,0.8018018018018018,0.89,0.21,222.0,
RCSVM,0.675,0.8059701492537313,0.21,1920.0,
RANDOM,0.705,0.8269794721407625,0.21,,
RGCN_GAE,0.99,0.9949748743718593,0.21,,2.0
