L,P,acc,f1,acc_per_epoch,f1_per_epoch,losses,model
2,0.04,0.755,0.8603988603988604,"[0.66, 0.68, 0.655, 0.675, 0.66, 0.66, 0.68, 0.705, 0.71, 0.71, 0.715, 0.72, 0.73, 0.74, 0.745, 0.755, 0.75, 0.75, 0.75, 0.755]","[0.7951807228915663, 0.8095238095238095, 0.7915407854984894, 0.8059701492537313, 0.7951807228915663, 0.7951807228915663, 0.8095238095238095, 0.8269794721407625, 0.8304093567251462, 0.8304093567251462, 0.8338192419825073, 0.8372093023255814, 0.8439306358381503, 0.8505747126436781, 0.8538681948424068, 0.8603988603988604, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8603988603988604]","[0.6940358281135559, 0.6927332282066345, 0.6915635466575623, 0.6905118823051453, 0.6895650029182434, 0.6887110471725464, 0.6879400014877319, 0.6872434020042419, 0.6866136193275452, 0.6860437393188477, 0.6855281591415405, 0.685061514377594, 0.6846391558647156, 0.684256911277771, 0.6839108467102051, 0.6835978031158447, 0.6833146214485168, 0.6830585598945618, 0.6828268766403198, 0.6826174259185791]",RGCN_MLP
3,0.04,0.45,0.6206896551724138,"[0.565, 0.545, 0.54, 0.53, 0.51, 0.51, 0.5, 0.495, 0.49, 0.465, 0.48, 0.475, 0.465, 0.46, 0.45, 0.455, 0.455, 0.455, 0.45, 0.45]","[0.7220447284345048, 0.7055016181229773, 0.7012987012987013, 0.6928104575163399, 0.6754966887417219, 0.6754966887417219, 0.6666666666666666, 0.6622073578595318, 0.6577181208053692, 0.6348122866894198, 0.6486486486486487, 0.6440677966101694, 0.6348122866894198, 0.6301369863013698, 0.6206896551724138, 0.6254295532646048, 0.6254295532646048, 0.6254295532646048, 0.6206896551724138, 0.6206896551724138]","[0.6892063617706299, 0.6878759264945984, 0.6866894960403442, 0.6856144070625305, 0.6846365928649902, 0.683745265007019, 0.6829314231872559, 0.6821876764297485, 0.6815075874328613, 0.6808855533599854, 0.6803167462348938, 0.6797968149185181, 0.6793217658996582, 0.6788879036903381, 0.6784918904304504, 0.6781306266784668, 0.6778013706207275, 0.6775014996528625, 0.6772284507751465, 0.6769803762435913]",RGCN_MLP
4,0.04,0.89,0.9417989417989417,"[0.755, 0.79, 0.84, 0.865, 0.88, 0.885, 0.88, 0.88, 0.88, 0.885, 0.885, 0.89, 0.89, 0.885, 0.885, 0.89, 0.89, 0.89, 0.89, 0.89]","[0.8603988603988604, 0.88268156424581, 0.9130434782608695, 0.9276139410187667, 0.9361702127659575, 0.9389920424403183, 0.9361702127659575, 0.9361702127659575, 0.9361702127659575, 0.9389920424403183, 0.9389920424403183, 0.9417989417989417, 0.9417989417989417, 0.9389920424403183, 0.9389920424403183, 0.9417989417989417, 0.9417989417989417, 0.9417989417989417, 0.9417989417989417, 0.9417989417989417]","[0.6936172842979431, 0.6923279166221619, 0.6911671757698059, 0.6901183128356934, 0.6891677379608154, 0.68830406665802, 0.6875174045562744, 0.6867995858192444, 0.6861436367034912, 0.6855441331863403, 0.6849959492683411, 0.6844948530197144, 0.6840368509292603, 0.683618426322937, 0.6832364201545715, 0.682887852191925, 0.6825700402259827, 0.6822804808616638, 0.6820168495178223, 0.6817769408226013]",RGCN_MLP
5,0.04,0.655,0.7915407854984894,"[0.58, 0.565, 0.59, 0.61, 0.64, 0.645, 0.65, 0.645, 0.645, 0.645, 0.635, 0.665, 0.66, 0.665, 0.66, 0.66, 0.655, 0.66, 0.665, 0.655]","[0.7341772151898734, 0.7220447284345048, 0.7421383647798742, 0.7577639751552795, 0.7804878048780488, 0.78419452887538, 0.7878787878787878, 0.78419452887538, 0.78419452887538, 0.78419452887538, 0.7767584097859327, 0.7987987987987988, 0.7951807228915663, 0.7987987987987988, 0.7951807228915663, 0.7951807228915663, 0.7915407854984894, 0.7951807228915663, 0.7987987987987988, 0.7915407854984894]","[0.6945449113845825, 0.6927629113197327, 0.6912083625793457, 0.6898356676101685, 0.6886104345321655, 0.6875069737434387, 0.6864982843399048, 0.6855723857879639, 0.6847207546234131, 0.6839366555213928, 0.6832147836685181, 0.6825501918792725, 0.6819387674331665, 0.6813765168190002, 0.6808598637580872, 0.6803856492042542, 0.679951012134552, 0.6795527338981628, 0.6791883111000061, 0.6788552403450012]",RGCN_MLP
,0.04,0.775,0.8732394366197183,"[0.75, 0.765, 0.78, 0.79, 0.81, 0.795, 0.795, 0.795, 0.785, 0.79, 0.785, 0.785, 0.785, 0.78, 0.78, 0.785, 0.78, 0.78, 0.78, 0.775]","[0.8571428571428571, 0.8668555240793201, 0.8764044943820225, 0.88268156424581, 0.8950276243093923, 0.8857938718662952, 0.8857938718662952, 0.8857938718662952, 0.8795518207282913, 0.88268156424581, 0.8795518207282913, 0.8795518207282913, 0.8795518207282913, 0.8764044943820225, 0.8764044943820225, 0.8795518207282913, 0.8764044943820225, 0.8764044943820225, 0.8764044943820225, 0.8732394366197183]","[0.6912415623664856, 0.6898816227912903, 0.6886560320854187, 0.687549889087677, 0.6865504384040833, 0.6856469511985779, 0.6848301887512207, 0.6840920448303223, 0.6834250092506409, 0.6828221082687378, 0.6822773218154907, 0.6817849278450012, 0.6813401579856873, 0.6809382438659668, 0.6805753111839294, 0.68024742603302, 0.6799513697624207, 0.679684042930603, 0.6794427633285522, 0.6792250275611877]",GCN_MLP
,0.04,0.615,0.7616099071207431,,,,CCRNE
,0.04,0.735,0.8472622478386167,,,,MCLS
,0.04,0.74,0.8505747126436781,,,,LP_PUL
,0.04,0.625,0.7692307692307693,,,,PU_LP
,0.04,0.625,0.7692307692307693,,,,RCSVM
