model,acc,f1,P,neg,L
CCRNE,0.5,0.6666666666666666,0.1,200.0,
MCLS,0.98,0.98989898989899,0.1,200.0,
LP_PUL,0.655,0.7915407854984894,0.1,200.0,
PU_LP,0.5064102564102564,0.6723404255319149,0.1,468.0,
RCSVM,0.45279513595676407,0.6233434085096489,0.1,5921.0,
RANDOM,0.515,0.6798679867986799,0.1,,
RGCN_GAE,0.925,0.961038961038961,0.1,,2.0
RGCN_GAE,0.89,0.9417989417989417,0.1,,3.0
RGCN_GAE,0.795,0.8857938718662952,0.1,,4.0
RGCN_GAE,0.795,0.8857938718662952,0.1,,5.0
RLP_PUL,0.71,0.8304093567251462,0.1,,
GCN_GAE,0.635,0.7767584097859327,0.1,,
CCRNE,0.49,0.6577181208053692,0.11,200.0,
MCLS,0.98,0.98989898989899,0.11,200.0,
LP_PUL,0.64,0.7804878048780488,0.11,200.0,
PU_LP,0.5291828793774319,0.6921119592875318,0.11,514.0,
RCSVM,0.4431502086230876,0.6141428743524876,0.11,5752.0,
RANDOM,0.485,0.6531986531986532,0.11,,
RGCN_GAE,0.93,0.9637305699481865,0.11,,2.0
RGCN_GAE,0.87,0.93048128342246,0.11,,3.0
RGCN_GAE,0.82,0.9010989010989011,0.11,,4.0
RGCN_GAE,0.785,0.8795518207282913,0.11,,5.0
RLP_PUL,0.715,0.8338192419825073,0.11,,
GCN_GAE,0.63,0.7730061349693251,0.11,,
CCRNE,0.5,0.6666666666666666,0.12,200.0,
MCLS,0.98,0.98989898989899,0.12,200.0,
LP_PUL,0.63,0.7730061349693251,0.12,200.0,
PU_LP,0.5365418894830659,0.6983758700696056,0.12,561.0,
RCSVM,0.43172438542975056,0.6030830931194385,0.12,5573.0,
RANDOM,0.49,0.6577181208053692,0.12,,
RGCN_GAE,0.905,0.9501312335958005,0.12,,2.0
RGCN_GAE,0.895,0.9445910290237467,0.12,,3.0
RGCN_GAE,0.81,0.8950276243093923,0.12,,4.0
RGCN_GAE,0.805,0.8919667590027701,0.12,,5.0
RLP_PUL,0.69,0.8165680473372781,0.12,,
GCN_GAE,0.625,0.7692307692307693,0.12,,
CCRNE,0.51,0.6754966887417219,0.13,200.0,
MCLS,0.98,0.98989898989899,0.13,200.0,
